Borough,NTAName,SiteName,SiteAddress,Zipcode,DSNYZone,DSNYDistrict,DSNYSection,CommunityDistrict,BoroCT2020,CouncilDistrict,SenateDistrict,CongressionalDistrict,AssemblyDistrict,PolicePrecinct,BBL,BIN,Latitude,Longitude,ObjectId,point
Queens,Elmhurst,Apple Store,90-15 Queens Blvd,11373,QW,QW04,QW042,404,4068300,25,13,6,39,110,4018600100,4045999,40.734566,-73.870652,4985,POINT (-73.870653406608 40.7345742656921)
Queens,Woodside,Staples,58-12 Queens Blvd,11377,QW,QW02,QW021,402,4024500,26,12,7,30,108,4023137501,4454475,40.74128698,-73.9070244,5017,POINT (-73.9070258183303 40.7412952455574)
Queens,Maspeth,PTK Restorations LLC,59-20 Grand Ave,11378,QW,QW05,QW051,405,4053100,30,12,6,37,104,,,40.720542,-73.907551,5032,POINT (-73.9075524170951 40.720550261406)
Staten Island,New Springville-Willowbrook-Bulls Head-Travis,Staples,2535 Richmond Ave,10314,SI,SI02,SI024,502,5027702,51,24,11,63,121,5024000015,5132232,40.58605531,-74.16669338,4965,POINT (-74.1666948721753 40.5860635359659)
Manhattan,Midtown-Times Square,Best Buy,531 5th Ave,10017,MN,MN05,MN052,105,1009400,4,28,12,73,014,1012790001,1035366,40.75483614,-73.97963772,4982,POINT (-73.9796391626805 40.7548444056272)
Brooklyn,Greenpoint,"Allocco Recycling, Ltd.",540 Kingsland Ave,11222,BKN,BKN01,BKN011,301,3057902,33,59,7,50,094,3025170035,3348300,40.7355308,-73.9443812,4958,POINT (-73.9443826296861 40.7355390632757)
Queens,Astoria (North)-Ditmars-Steinway,Staples,24-41 31 St,11102,QW,QW01,QW012,401,4012500,22,59,14,36,114,4008370027,4017321,40.77122118,-73.91629611,5004,POINT (-73.9162975332505 40.7712294511132)
Staten Island,Freshkills Park (South),DSNY Special Waste Drop-Off Site,1000 West Service Rd,10312,SI,SI03,SI035,503,5022801,51,24,11,62,123,5059000500,5130986,40.56899487,-74.19338812,5010,POINT (-74.1933896196464 40.5690030912403)
Manhattan,Upper East Side-Carnegie Hill,Best Buy,1280 Lexington Ave,10028,MN,MN08,MN084,108,1014802,4,28,12,73,019,1015157502,1047955,40.7798872,-73.9557037,4989,POINT (-73.9557051369693 40.7798954711018)
Manhattan,East Midtown-Turtle Bay,Staples,800 Third Ave,10022,MN,MN06,MN063,106,1010000,4,28,12,73,017,1013040033,1036446,40.75570567,-73.97138626,5021,POINT (-73.9713876997849 40.7557139359027)
Queens,Bayside,Staples,209-34 Northern Blvd,11361,QE,QE11,QE116,411,4144700,19,16,6,25,111,4073090015,4156796,40.75909625,-73.77302777,5036,POINT (-73.7730291463433 40.759104523294)
Brooklyn,East Williamsburg,Scholes St Recycling Corp,492 Scholes St,11237,BKN,BKN01,BKN015,301,3044902,34,18,7,53,090,3029690014,3070560,40.71123455,-73.92767114,4961,POINT (-73.9276725635541 40.7112428087227)
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Salvation Army,109 2nd Ave,11215,BKS,BKS06,BKS065,306,3012100,38,26,10,51,078,3010140001,3022410,40.67144018,-73.9942085,4946,POINT (-73.9942099425397 40.6714484285768)
Queens,Flushing-Willets Point,Best Buy,13107 40th Rd,11354,QE,QE07,QE071,407,4087100,20,16,6,40,109,4050667501,4534020,40.75636718,-73.83696215,4993,POINT (-73.836963547385 40.75637545104)
Bronx,Mott Haven-Port Morris,WE Pickups LLC,432 Austin Place #408,10455,BX,BX01,BX012,201,2003100,8,29,15,84,040,,,40.8090356,-73.9053482,5025,POINT (-73.9053496222231 40.8090438784118)
Manhattan,Chelsea-Hudson Yards,Goodwill,103 W 25 St,10001,MN,MN04,MN042,104,1009100,3,28,12,75,013,1008010034,1085978,40.7444737,-73.9921732,4972,POINT (-73.9921746458823 40.7444819628032)
Manhattan,Hell's Kitchen,Salvation Army,536 W 46 St,10036,MN,MN04,MN043,104,1012901,3,47,12,67,018,1010740049,1026949,40.762665,-73.995377,4978,POINT (-73.9953784478945 40.7626732663619)
Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,Salvation Army,436 Atlantic Ave,11217,BKN,BKN02,BKN022,302,3004100,33,26,10,52,084,3001840014,3000929,40.6863101,-73.9838984,4950,POINT (-73.9838998403413 40.6863183515463)
Brooklyn,Greenpoint,DSNY Special Waste Drop-Off Site,459 N Henry St,11222,BKN,BKN01,BKN011,301,3057902,33,59,7,50,094,3025080001,3064006,40.73476,-73.94543,4957,POINT (-73.9454314307652 40.7347682626162)
Manhattan,Greenwich Village,Best Buy,52 E 14th St,10003,MN,MN02,MN023,102,1006100,2,27,10,66,009,1005650021,1009217,40.73451587,-73.99052633,4940,POINT (-73.9905277742954 40.734524130905)
